Date,Actual,Predicted (Run 1),Predicted (Run 2),Predicted (Run 3),Predicted (Run 4),Predicted (Run 5),Predicted (Run 6)
2023/04/13,283.589996,278.919,280.079,280.684,290.131,287.706,286.961
2023/04/14,287,277.99,279.136,279.601,289.169,286.779,286.124
2023/04/17,289.929993,278.244,279.392,280.087,289.467,287.195,286.282
2023/04/18,291.570007,280.03,281.165,282.233,291.286,289.135,287.892
2023/04/19,285.98999,282.349,283.411,284.626,293.586,291.454,290.171
2023/04/20,285.25,282.185,283.051,283.807,293.301,290.983,290.354
2023/04/21,285.01001,280.536,281.248,281.71,291.637,289.197,289.015
2023/04/24,282.089996,278.962,279.624,280.214,290.132,287.714,287.491
2023/04/25,279.51001,277.3,277.983,278.734,288.482,286.127,285.761
2023/04/26,296.700012,275.406,276.16,276.941,286.542,284.259,283.768
2023/04/27,295.970001,279.324,280.329,282.153,290.653,288.733,286.941
2023/04/28,304.01001,284.888,285.937,288.065,296.172,294.341,292.191
2023/05/01,306.970001,291.021,291.93,293.918,302.288,300.35,298.442
2023/05/02,307.76001,295.894,296.491,298.109,307.223,304.997,303.801
2023/05/03,306.619995,298.442,298.719,299.978,309.934,307.352,306.962
2023/05/04,306.23999,298.667,298.786,299.83,310.41,307.54,307.688
2023/05/05,305.720001,297.885,298.101,299.174,309.95,306.982,307.117
2023/05/08,310.130005,297.079,297.585,298.777,309.443,306.546,306.271
2023/05/09,308,298.234,299.152,300.661,310.891,308.244,307.114
2023/05/10,308.619995,299.269,300.448,301.777,311.994,309.489,308.046
2023/05/11,310.100006,299.902,301.196,302.19,312.657,310.221,308.748
2023/05/12,310.549988,300.661,301.955,302.821,313.476,311.101,309.59
2023/05/15,309.100006,301.401,302.608,303.478,314.251,311.899,310.417
